,claim,label
0,"Chemical found in Cheerios, Quaker Oats may cause infertility and delayed puberty",Unsupported
1,Researchers have “already perfected the ability to put human vaccines” into certain foods “right now”; grocery vegetables might contain human vaccines,Misleading
2,“No childhood vaccine has ever been through a double blind placebo controlled trial.”,false
3,"Per FDA guidelines, babies are too small to safely handle the amount of aluminum in childhood vaccines",false
4,“France will send citizens to jail if they question mRNA vaccines”; “It’s now a crime in France to oppose the mRNA vax”,false
5,COVID-19 vaccine recipients might not be eligible for blood donation,Misleading
6,"Global COVID Vaccine Safety study shows that COVID-19 vaccines are dangerous, inadequately tested; getting vaccinated is more dangerous than getting COVID-19",false
7,Vaccines contain unhealthy levels of aluminum; Japan’s elimination of vaccines has reduced infant mortality,false
8,Doctors are ‘injecting poison’ into babies every two months.,false
9,"Viruses don’t exist, terrain theory explains why diseases occur",false
10,Study shows myocarditis from COVID-19 vaccination carries serious risk of death,false
11,Polio vaccine doesn’t work; India had no cases of non-polio paralysis until polio vaccine was introduced; polio was renamed to hide its existence,misleading
12,"“Official CDC data: 143,233% surge in fatal cancers among Vaxxed Americans”",false
13,“The HIV test can turn positive after COVID-19 as well as the vaccine”; “maybe a form of immunodeficiency is there”,misleading
14,"Vaccines have caused an ""explosion"" of childhood cancer; vaccine package insert states vaccines weren’t tested for mutagenic effect",false
15,"COVID-19 vaccines are associated with an increase in heart conditions, cancer",Unsupported
16,Placing raw onion on the bottom of the feet eliminates illness,false
17,“COVID-19 Shots Linked to Autism in Vaccinated Rats: Study”,Unsupported
18,“they already have the pandemic planned”; “there’s an 89-page pdf about how they’ll push everything”,Unsupported
19,"A “zapper” can kill parasites, bacteria, and viruses; it cures all diseases",false
20,COVID-19 vaccines cause leprosy,false
21,The pandemic was planned; respiratory illness surge in New York and China isn’t airborne but due to chlorine and benzene in food and water,false
22,Ben Carson endorsed CBD gummies and “3 completely natural ingredients” to cure hypertension,false
23,"Natural supplement SightCare restores “perfect 20/20 vision without glasses, contacts or surgery”",Unsupported
24,"COVID-19 vaccines contain proteins from HIV; “if you have taken the third dose, go and take a test for AIDS, then sue your government”",false
25,COVID-19 vaccines are “an unqualified disaster”; they didn’t “[halt] viral spread” and they caused “high morbidity and mortality rates”,false
26,COVID-19 vaccines are “experimental poison”; COVID has gone away,false
27,Vitamin K shots are dangerous because of toxic levels of aluminum; Hepatitis B vaccines contain toxic ingredients,false
28,"“the COVID vaccines have killed millions of people worldwide, an estimated 1 death per 1,000 doses on average in a standard population”",false
29,"“Natural Immunity Better Than Protection From COVID-19 Vaccination, researchers in Estonia found”",Misleading
30,Published studies show that COVID-19 mRNA vaccines cause metabolic cardiomyopathy and sudden cardiac death,false
31,"HPV vaccines are ineffective and cause side effects including autoimmune and neurological disorders, based on VAERS reports",false
32,A public information film on the coronavirus was released in the 1970s,false
33,"Vaccines, MTHFR mutation, and glyphosate lead to autism in children with brain injury",false
34,Red Bull contain cocaine and buprenorphine,false
35,"“There is a cure to every d!isease”; herbs can cure cancer, diabetes, Alzheimer’s",false
36,Unapproved genetically modified organisms in the COVID-19 mRNA vaccines could permanently change our DNA,false
37,COVID-19 vaccination of pregnant women is connected to an increase in U.S. infant mortality rate in 2022,false
38,"Ventilators, not COVID, killed hospitalized COVID patients",false
39,"A soup made of garlic, onions, thyme, and lemon can replace the flu shot and cure other illnesses such as the common cold and norovirus",false
0,Study shows myocarditis from COVID-19 vaccination carries serious risk of death,false
1,Polio vaccine doesn’t work; India had no cases of non-polio paralysis until polio vaccine was introduced; polio was renamed to hide its existence,misleading
2,"“Official CDC data: 143,233% surge in fatal cancers among Vaxxed Americans”",false
3,“The HIV test can turn positive after COVID-19 as well as the vaccine”; “maybe a form of immunodeficiency is there”,misleading
4,"Vaccines have caused an ""explosion"" of childhood cancer; vaccine package insert states vaccines weren’t tested for mutagenic effect",false
5,"COVID-19 vaccines are associated with an increase in heart conditions, cancer",misleading
6,Placing raw onion on the bottom of the feet eliminates illness,false
7,“COVID-19 Shots Linked to Autism in Vaccinated Rats: Study”,misleading
8,“they already have the pandemic planned”; “there’s an 89-page pdf about how they’ll push everything”,misleading
9,"A “zapper” can kill parasites, bacteria, and viruses; it cures all diseases",false
10,COVID-19 vaccines cause leprosy,false
11,The pandemic was planned; respiratory illness surge in New York and China isn’t airborne but due to chlorine and benzene in food and water,false
12,Ben Carson endorsed CBD gummies and “3 completely natural ingredients” to cure hypertension,false
13,"Natural supplement SightCare restores “perfect 20/20 vision without glasses, contacts or surgery”",misleading
14,"COVID-19 vaccines contain proteins from HIV; “if you have taken the third dose, go and take a test for AIDS, then sue your government”",false
15,COVID-19 vaccines are “an unqualified disaster”; they didn’t “[halt] viral spread” and they caused “high morbidity and mortality rates”,false
16,COVID-19 vaccines are “experimental poison”; COVID has gone away,false
17,Vitamin K shots are dangerous because of toxic levels of aluminum; Hepatitis B vaccines contain toxic ingredients,false
18,"“the COVID vaccines have killed millions of people worldwide, an estimated 1 death per 1,000 doses on average in a standard population”",false
19,"“Natural Immunity Better Than Protection From COVID-19 Vaccination, researchers in Estonia found”",misleading
20,Published studies show that COVID-19 mRNA vaccines cause metabolic cardiomyopathy and sudden cardiac death,false
21,"HPV vaccines are ineffective and cause side effects including autoimmune and neurological disorders, based on VAERS reports",false
22,A public information film on the coronavirus was released in the 1970s,false
23,"Vaccines, MTHFR mutation, and glyphosate lead to autism in children with brain injury",false
24,Red Bull contain cocaine and buprenorphine,false
25,"“There is a cure to every d!isease”; herbs can cure cancer, diabetes, Alzheimer’s",false
26,Unapproved genetically modified organisms in the COVID-19 mRNA vaccines could permanently change our DNA,false
27,COVID-19 vaccination of pregnant women is connected to an increase in U.S. infant mortality rate in 2022,false
28,"Ventilators, not COVID, killed hospitalized COVID patients",false
29,"A soup made of garlic, onions, thyme, and lemon can replace the flu shot and cure other illnesses such as the common cold and norovirus",false
30,"“Americans are dropping dead” from COVID-19 vaccines; vaccines impair fertility, pregnancy, infant survival",false
31,“No discernible benefit of covid-19 vaccination in pregnancy”; “higher rate of neonatal and all-cause readmissions among babies born to vaccinated mothers”,false
32,"Study in Italy shows nearly 1 in 3 COVID vaccine recipients have neurological side effects, indicating an “unacceptable” safety profile",false
33,"“Fauci frankensteined Covid bats on our soil a year before the pandemic, but then acted all shocked when the virus started spreading” ; Fauci’s goons went to the Wuhan lab, bottled up a virus and brought it to a lab in America”",false
34,“New medicine normalizes blood sugar levels after the first use”,false
35,"The more COVID-19 vaccines doses people receive, the higher the risk of getting COVID-19; vaccines contain DNA fragments that modify the genome and cause cancer",misleading
36,"“An accurate reporting by Pfizer would have shown equal numbers of clinical trial deaths in the vaccine and placebo groups and thus, no benefit of vaccination”",false
37,Vaccine killed 3.5X more Americans than COVID virus,false
38,"Sugar causes ADHD in babies, dementia and Alzheimer's in adults, cancer",misleading
39,"The U.S. government spread misinformation that vaccinated immunity was far greater than natural immunity, that masks were effective, that myocarditis was more common after the infection than the vaccine",misleading
40,Regulatory agencies didn’t know of residual DNA contamination in COVID-19 RNA vaccines; residual DNA could integrate into our DNA and cause cancer,false
41,Cayenne pepper is “the most powerful blood thinner”,misleading
42,COVID-19 vaccines increase the risk of heart attacks,misleading
43,New England Journal of Medicine “proves” 80% miscarriage rate among vaccinated women; COVID-19 vaccines harm men’s and women’s fertility,false
44,COVID-19 vaccines are responsible for killing 17 million people,false
45,There is more excess mortality in countries with higher level of COVID-19 vaccination,misleading
46,COVID-19 vaccines can be sexually transmitted to unvaccinated people; vaccines cause blood discoloration and weaken immune system,false
47,COVID-19 vaccine mRNA cannot be broken down; COVID-19 vaccines cause excess death and unprecedented blood clots,false
48,"“1 million mRNA covid shots or teens will prevent 0-1 deaths and CAUSE 100,000 - 200,000 severe side effects”",misleading
49,"N-acetylcysteine inhibits viral replication, breaks up mucus, and is effective against COVID-19",misleading
